upstream,downstream
12552,31507
12552,35790
12552,51815
12552,59702
12552,207031
12552,210422
12555,48430
12578,34073
12578,196948
12713,6799
12713,29247
12741,20960
12741,41809
12741,43939
12741,201743
12847,24921
12956,3352
12956,6147
12956,19422
12956,22927
12956,26599
12956,27729
13009,5552
13009,15533
13009,206976
13127,47829
13127,202553
13194,2588
13237,8520
13237,42037
13237,60380
13285,8586
13536,12055
13536,21547
13536,40718
13576,26860
13576,36152
13855,397790
14041,194
14041,2648
14041,16519
14080,10620
14080,26611
15305,20295
15557,202898
15802,202024
15932,4818
15994,12810
15994,31012
16019,34049
16246,29321
16246,41046
16246,49767
16246,202657
16637,30986
16637,36890
16735,262301
17676,4725
17676,37897
17709,131591
18200,17480
18200,45345
18200,56055
18200,56089
18451,394989
19016,394522
19037,11664
19127,395401
19151,12110
19151,13645
19429,270030
19782,17
19782,87
19782,1767
19782,10680
19782,46149
19863,264694
20055,964
20055,1052
20055,31857
20055,40033
20080,5786
20080,27750
20115,22513
20115,22516
20115,22677
20115,22710
20115,23132
20115,23222
20115,54869
20485,15774
20485,15974
20485,16285
20485,21127
20485,21191
20485,28769
20773,8972
20773,20738
20773,21499
20773,34011
20773,60253
21320,378
21320,5470
21320,15690
21320,199354
21351,2199
21351,2470
21351,2472
21385,12907
21473,43911
21473,212226
21559,269931
21559,271968
21559,397399
21949,11478
21949,40191
21949,399214
22772,6491
22869,27729
22927,52322
22927,52361
22927,264685
23106,264114
23106,264550
23106,271156
23520,11139
23520,11556
23520,14432
23520,14638
23520,14813
23520,27665
23520,27789
23520,30689
23520,46650
23520,52228
23520,52233
23520,52253
23520,52286
23520,52471
23520,262191
23520,262202
23520,263248
23520,264663
23520,265539
23520,267705
23520,267845
23520,271916
23520,271971
23520,272083
23520,272110
23520,272112
23520,272882
23520,273078
25400,41164
25400,62002
25400,200139
25504,35292
25512,43614
26794,27539
26794,63414
26827,14209
26860,36152
27552,22147
27552,25623
27552,26527
27552,397127
27665,27789
28917,44812
29049,20661
29049,39397
29049,207922
29049,211995
29314,21021
29550,34282
29550,34920
29550,44574
29550,59876
29838,11799
29838,33437
29838,40015
30781,25009
30781,199636
30781,208789
30844,30969
30950,8542
30950,15765
30950,29486
30950,29492
30950,35132
30950,50217
30950,60163
31027,21060
31027,28717
31027,42525
31027,44803
31027,44869
31027,47304
31027,47454
31027,62121
31027,199545
31027,204274
31027,209327
31027,210939
31027,215052
31117,44631
31117,49798
31117,60791
31117,208668
31463,206976
31477,8312
31477,51923
31898,14506
32098,18592
32098,28438
32098,265548
32098,265585
32098,270151
32440,2055
32440,40189
32505,399554
32703,22751
33154,398461
33353,3725
36947,327931
37662,37035
37662,37133
37662,37440
38022,9431
38022,23905
38022,38299
38082,17552
38195,10143
38195,56178
38442,139898
38740,7615
38740,23955
38757,9341
38757,151605
39122,1197
39122,215733
39386,25019
39386,47589
39642,43557
40387,38
40387,698
40948,46857
42708,2863
42708,57238
42831,51692
42831,64080
42831,207108
43727,8981
43833,200738
43957,49014
44869,204274
44869,209327
45204,10219
45204,17882
45204,56293
45204,141681
45430,131445
45430,133481
45489,9329
45489,45356
45899,151867
46455,33038
46455,397361
46650,14432
46887,6124
47232,13199
47232,33883
47232,44500
47232,50971
47232,197296
47232,197393
47232,197879
47232,198814
47232,201476
47232,201654
47232,202131
47232,204064
47232,209621
47605,12659
47605,42252
47605,42977
47605,51319
47605,51935
47605,196655
47605,198859
47605,199087
47605,208599
47886,213208
48237,35819
48823,31333
48880,201572
49434,212653
49531,213220
49743,35408
50266,13127
