upstream,downstream
81,13371
81,19718
224,58302
224,200693
549,239
714,6185
2716,19200
2716,268118
2716,269224
2907,55379
2907,55904
3223,196763
3477,2648
3477,3635
3477,5744
3477,33343
4750,134839
4750,142437
4755,133969
4800,55654
4812,151313
5056,33690
5056,397446
5056,400706
5403,199216
6057,1797
6597,10419
6597,18792
6922,1970
7049,28109
7049,264759
7470,17552
7545,133612
7587,137338
7668,18123
8151,7173
8151,19373
8151,28403
8151,265584
8449,39036
8449,47237
8542,29486
8542,50217
8542,60163
8560,6724
8676,52063
8781,42298
9498,36926
9498,38185
9498,151719
9891,59374
9924,24157
9924,24158
9924,24163
9924,24164
9924,24165
9924,38841
10075,139642
10310,5779
10310,14196
10310,14776
10310,14777
10310,14779
10310,14780
10310,26085
10310,26101
10310,28122
10310,34010
10310,36088
10310,36229
10310,36646
10310,36647
10310,36752
10310,43428
10310,203070
10310,203219
10310,393245
10886,27
12189,11572
12189,19181
12189,19437
12189,20454
12189,39239
12189,46385
12189,59210
12189,60558
12189,136899
12189,209485
12189,210266
12189,394643
12189,400672
12406,44087
12491,201073
12695,8592
12732,8875
13335,23145
13335,132892
13335,206998
13335,209242
13335,400797
13767,13354
15296,3359
15657,57342
15830,140148
15964,36912
17072,16596
17072,272336
17378,3700
17378,55045
17378,399612
17501,139741
17557,24499
17557,139351
17557,141031
17762,132497
17762,138771
18229,140197
18734,28534
18734,28535
18734,28536
18734,28537
18734,28544
18734,265545
18734,270161
20454,398019
20473,48767
20473,56508
20473,202265
20473,205315
23243,52362
24875,58073
24875,202602
26677,46757
27696,271971
27768,27733
27932,27923
27932,52422
27986,27651
28146,52912
28146,263004
28283,267140
28910,34718
28910,49273
28910,64466
28910,202175
31133,12714
31133,13075
31371,197782
31898,792
31898,1215
31898,1216
31898,1217
31898,4184
31898,18916
31898,20037
31898,23885
31898,38538
31898,206209
32425,31827
32787,40260
33576,27660
33576,27800
33576,33582
33576,394311
33576,396304
33576,396357
33576,399724
34282,59876
34927,19415
35805,42082
36086,13578
36236,6838
36236,394344
38158,139449
38283,139220
39397,207922
40676,62633
41164,62002
44306,211572
45355,38198
45820,140124
46208,19872
46887,30438
50113,205125
52323,264651
52468,262223
52468,262262
52468,263761
52468,264756
52468,266831
52468,269976
52688,52870
52872,272750
53013,270724
55002,10390
55002,30037
55329,131178
55352,141324
55352,141846
55824,132780
55915,149037
57344,212588
58717,59340
58717,136759
58717,137987
58717,138575
58717,139026
58717,148975
58717,149001
59605,48832
60068,133944
132579,38201
133296,138233
135905,150861
136334,135248
136557,142275
138771,151699
139922,137209
151690,134291
196925,39232
197071,59752
264289,263987
264289,265226
264289,267480
264939,265961
265319,270719
266242,268667
267429,265294
267845,272083
269931,271968
271984,265801
396926,25656
